index,material_no,name,category,glass_t1_mm,glass_cavity_mm,glass_t2_mm,spectrum_ok,R_125_Hz,R_250_Hz,R_500_Hz,R_1000_Hz,R_2000_Hz,R_4000_Hz
0,1,Glas 4-6-4 gasgevuld (GDG),GDG,4.0,6.0,4.0,True,22.0,21.0,26.0,40.0,37.0,30.0
1,2,Glas 4-6-6 gasgevuld (GDG),GDG,4.0,6.0,6.0,True,24.0,22.0,28.0,41.0,33.0,33.0
2,3,Glas 4-6-8 gasgevuld (GDG),GDG,4.0,6.0,8.0,True,24.0,22.0,30.0,39.0,32.0,33.0
3,4,Glas 4-12-4 gasgevuld (GDG),GDG,4.0,12.0,4.0,True,20.0,18.0,33.0,43.0,40.0,33.0
4,5,Glas 4-12-6 gasgevuld (GDG),GDG,4.0,12.0,6.0,True,21.0,18.0,35.0,44.0,37.0,37.0
5,6,Glas 4-12-8 gasgevuld (GDG),GDG,4.0,12.0,8.0,True,22.0,20.0,36.0,43.0,36.0,36.0
6,7,Glas 6-12-6 gasgevuld (GDG),GDG,6.0,12.0,6.0,True,22.0,21.0,37.0,43.0,31.0,37.0
7,8,Glas 4-16-4 gasgevuld (GDG),GDG,4.0,16.0,4.0,True,20.0,17.0,36.0,44.0,42.0,35.0
8,9,Glas 4-12-10 gasgevuld (GDG),GDG,4.0,12.0,10.0,True,23.0,22.0,37.0,39.0,34.0,37.0
9,10,Glas 6-12-8 gasgevuld (GDG),GDG,6.0,12.0,8.0,True,22.0,24.0,39.0,40.0,30.0,38.0
10,11,Glas 4-16-6 gasgevuld (GDG),GDG,4.0,16.0,6.0,True,21.0,22.0,38.0,45.0,39.0,39.0
11,12,Glas 6-12-10 gasgevuld (GDG),GDG,6.0,12.0,10.0,True,23.0,25.0,40.0,36.0,34.0,39.0
12,13,Glas 4-16-8 gasgevuld (GDG),GDG,4.0,16.0,8.0,True,21.0,24.0,39.0,44.0,37.0,38.0
13,14,Glas 6-16-6 gasgevuld (GDG),GDG,6.0,16.0,6.0,True,21.0,26.0,40.0,45.0,33.0,39.0
14,15,Glas 4-20-4 gasgevuld (GDG),GDG,4.0,20.0,4.0,True,20.0,22.0,38.0,45.0,43.0,36.0
15,16,Glas 6-12-12 gasgevuld (GDG),GDG,6.0,12.0,12.0,True,23.0,26.0,40.0,33.0,33.0,40.0
16,17,Glas 8-12-10 gasgevuld (GDG),GDG,8.0,12.0,10.0,True,23.0,27.0,41.0,34.0,31.0,41.0
17,18,Glas 4-16-10 gasgevuld (GDG),GDG,4.0,16.0,10.0,True,22.0,25.0,40.0,40.0,36.0,39.0
18,19,Glas 6-16-8 gasgevuld (GDG),GDG,6.0,16.0,8.0,True,22.0,27.0,41.0,41.0,32.0,40.0
19,20,Glas 4-20-6 gasgevuld (GDG),GDG,4.0,20.0,6.0,True,20.0,26.0,40.0,46.0,40.0,40.0
20,21,Glas 8-12-12 gasgevuld (GDG),GDG,8.0,12.0,12.0,True,23.0,28.0,41.0,33.0,33.0,42.0
21,22,Glas 6-16-10 gasgevuld (GDG),GDG,6.0,16.0,10.0,True,22.0,28.0,41.0,38.0,36.0,41.0
22,23,Glas 4-20-8 gasgevuld (GDG),GDG,4.0,20.0,8.0,True,21.0,27.0,41.0,45.0,38.0,39.0
23,24,Glas 6-20-6 gasgevuld (GDG),GDG,6.0,20.0,6.0,True,21.0,28.0,41.0,46.0,34.0,40.0
24,25,Glas 4-24-4 gasgevuld (GDG),GDG,4.0,24.0,4.0,True,20.0,26.0,40.0,46.0,44.0,37.0
25,26,Glas 6-16-12 gasgevuld (GDG),GDG,6.0,16.0,12.0,True,22.0,29.0,41.0,35.0,35.0,42.0
26,27,Glas 8-16-10 gasgevuld (GDG),GDG,8.0,16.0,10.0,True,22.0,30.0,42.0,35.0,32.0,42.0
27,28,Glas 4-20-10 gasgevuld (GDG),GDG,4.0,20.0,10.0,True,22.0,28.0,41.0,41.0,37.0,40.0
28,29,Glas 6-20-8 gasgevuld (GDG),GDG,6.0,20.0,8.0,True,21.0,29.0,42.0,42.0,33.0,41.0
29,30,Glas 4-24-6 gasgevuld (GDG),GDG,4.0,24.0,6.0,True,20.0,28.0,41.0,46.0,41.0,41.0
30,31,Glas 8-16-12 gasgevuld (GDG),GDG,8.0,16.0,12.0,True,23.0,31.0,42.0,35.0,35.0,43.0
31,32,Glas 6-20-10 gasgevuld (GDG),GDG,6.0,20.0,10.0,True,22.0,30.0,42.0,39.0,37.0,42.0
32,33,Glas 4-24-8 gasgevuld (GDG),GDG,4.0,24.0,8.0,True,21.0,29.0,41.0,46.0,39.0,40.0
33,34,Glas 6-24-6 gasgevuld (GDG),GDG,6.0,24.0,6.0,True,21.0,30.0,42.0,47.0,35.0,41.0
34,35,Glas 6-20-12 gasgevuld (GDG),GDG,6.0,20.0,12.0,True,22.0,31.0,42.0,36.0,36.0,43.0
35,36,Glas 8-20-10 gasgevuld (GDG),GDG,8.0,20.0,10.0,True,22.0,32.0,43.0,37.0,33.0,43.0
36,37,Glas 4-24-10 gasgevuld (GDG),GDG,4.0,24.0,10.0,True,21.0,29.0,42.0,42.0,38.0,41.0
37,38,Glas 6-24-8 gasgevuld (GDG),GDG,6.0,24.0,8.0,True,21.0,31.0,42.0,43.0,34.0,42.0
38,39,Glas 8-20-12 gasgevuld (GDG),GDG,8.0,20.0,12.0,True,23.0,33.0,43.0,36.0,36.0,44.0
39,40,Glas 6-24-10 gasgevuld (GDG),GDG,6.0,24.0,10.0,True,21.0,32.0,43.0,40.0,38.0,43.0
40,41,Glas 6-24-12 gasgevuld (GDG),GDG,6.0,24.0,12.0,True,22.0,33.0,43.0,37.0,37.0,44.0
41,42,Glas 8-24-10 gasgevuld (GDG),GDG,8.0,24.0,10.0,True,22.0,34.0,43.0,38.0,34.0,44.0
42,43,Glas 8-24-12 gasgevuld (GDG),GDG,8.0,24.0,12.0,True,23.0,35.0,44.0,37.0,37.0,45.0
43,44,Glas 4-12-4/1/4 pvb.luchtgevuld (GDL),GDL,4.0,12.0,4.0,True,23.0,22.0,30.0,36.0,39.0,39.0
44,45,Glas 8-12-4/1/4 pvb.luchtgevuld (GDL),GDL,8.0,12.0,4.0,True,24.0,25.0,32.0,35.0,38.0,43.0
45,46,Glas 6-16-4/1/4 pvb.luchtgevuld (GDL),GDL,6.0,16.0,4.0,True,23.0,25.0,33.0,37.0,40.0,43.0
46,47,Glas 8-16-4/1/4 pvb.luchtgevuld (GDL),GDL,8.0,16.0,4.0,True,24.0,26.0,34.0,36.0,39.0,44.0
47,48,Glas 6-20-6/1/6 pvb.luchtgevuld (GDL),GDL,6.0,20.0,6.0,True,25.0,27.0,35.0,39.0,39.0,46.0
48,49,Glas 8-16-5/2/5hars.luchtgevuld(GDL),GDL,8.0,16.0,5.0,True,26.0,28.0,37.0,40.0,41.0,46.0
49,50,Glas 8-20-6/2/6hars.luchtgevuld (GDL),GDL,8.0,20.0,6.0,True,27.0,30.0,39.0,41.0,42.0,48.0
50,51,Glas 4-12-4/1/4 pvb.gasgevuld (GDG),GDG,4.0,12.0,4.0,True,22.0,20.0,36.0,43.0,39.0,39.0
51,52,Glas 8-12-4/1/4 pvb.gasgevuld (GDG),GDG,8.0,12.0,4.0,True,23.0,26.0,40.0,37.0,38.0,43.0
52,53,Glas 6-16-4/1/4 pvb.gasgevuld (GDG),GDG,6.0,16.0,4.0,True,22.0,27.0,41.0,41.0,40.0,43.0
53,54,Glas 8-16-4/1/4 pvb.gasgevuld (GDG),GDG,8.0,16.0,4.0,True,22.0,29.0,41.0,38.0,39.0,44.0
54,55,Glas 6-20-6/1/6 pvb.gasgevuld (GDG),GDG,6.0,20.0,6.0,True,22.0,31.0,42.0,39.0,39.0,46.0
55,56,Glas 8-16-5/2/5hars.gasgevuld (GDG),GDG,8.0,16.0,5.0,True,24.0,31.0,44.0,43.0,41.0,46.0
56,57,Glas 8-20-6/2/6hars.gasgevuld (GDG),GDG,8.0,20.0,6.0,True,25.0,35.0,46.0,42.0,42.0,48.0
57,58,Glas 4/1/4-12-4/1/4 luchtgev.gelam. (GDL),GDL,4.0,1.0,4.0,True,24.0,25.0,32.0,35.0,41.0,46.0
58,59,Glas 4/1/4-16-4/1/4 luchtgev.gelam. (GDL),GDL,4.0,1.0,4.0,True,24.0,26.0,34.0,36.0,42.0,47.0
59,60,Glas 4/1/4-12-5/2/5 luchtgev..gelam. (GDL),GDL,4.0,1.0,4.0,True,26.0,27.0,35.0,39.0,42.0,0.0
60,61,Glas 4/1/4-20-6/2/6 luchtgev..gelam. (GDL),GDL,4.0,1.0,4.0,True,28.0,30.0,39.0,41.0,45.0,51.0
61,62,Glas 5/2/5-20-5/2/5 luchtgev..gelam. (GDL),GDL,5.0,2.0,5.0,True,29.0,32.0,41.0,45.0,47.0,52.0
62,63,Glas 4/1/4-12-4/1/4 gasgevuld gelam. (GDG),GDG,4.0,1.0,4.0,True,23.0,26.0,40.0,37.0,41.0,46.0
63,64,Glas 4/1/4-16-4/1/4 gasgevuldgelam. (GDG),GDG,4.0,1.0,4.0,True,22.0,29.0,41.0,38.0,42.0,47.0
64,65,Glas 4/1/4-12-5/2/5 gasgevuld.gelam.,,4.0,1.0,4.0,True,24.0,28.0,43.0,41.0,42.0,0.0
65,66,Glas 4/1/4-20-5/2/5 gasgevuld.gelam. (GDG),GDG,4.0,1.0,4.0,True,24.0,34.0,45.0,44.0,45.0,50.0
66,67,Glas 4/1/4-20-6/2/6 gasgevuld.gelam. (GDG),GDG,4.0,1.0,4.0,True,26.0,35.0,46.0,42.0,45.0,51.0
67,68,Glas 4-40-5/2/5 voorzetraam (GDR),GDR,4.0,40.0,5.0,True,24.0,31.0,39.0,46.0,47.0,48.0
68,69,Glas 4-40-6/2/6 voorzetraam (GDR),GDR,4.0,40.0,6.0,True,25.0,31.0,40.0,45.0,46.0,48.0
69,70,Glas 6-40-5/2/5 voorzetraam (GDR),GDR,6.0,40.0,5.0,True,25.0,32.0,41.0,46.0,46.0,50.0
70,71,Glas 6-40-6/2/6 voorzetraam (GDR),GDR,6.0,40.0,6.0,True,26.0,33.0,41.0,45.0,46.0,50.0
71,72,Glas 8-40-5/2/5 voorzetraam (GDR),GDR,8.0,40.0,5.0,True,26.0,33.0,42.0,45.0,46.0,51.0
72,73,Glas 8-40-6/2/6 voorzetraam (GDR),GDR,8.0,40.0,6.0,True,27.0,34.0,42.0,45.0,46.0,52.0
73,74,Glas 4-80-5/2/5 voorzetraam (GDR),GDR,4.0,80.0,5.0,True,26.0,35.0,43.0,50.0,50.0,51.0
74,75,Glas 4-80-6/2/6 voorzetraam (GDR),GDR,4.0,80.0,6.0,True,27.0,35.0,44.0,49.0,50.0,52.0
75,76,Glas 6-80-5/2/5 voorzetraam (GDR),GDR,6.0,80.0,5.0,True,28.0,36.0,45.0,49.0,50.0,53.0
76,77,Glas 6-80-6/2/6 voorzetraam (GDR),GDR,6.0,80.0,6.0,True,28.0,37.0,45.0,49.0,50.0,54.0
77,78,Glas 8-80-5/2/5 voorzetraam (GDR),GDR,8.0,80.0,5.0,True,29.0,37.0,45.0,49.0,50.0,55.0
78,79,Glas 8-80-6/2/6 voorzetraam (GDR),GDR,8.0,80.0,6.0,True,29.0,38.0,46.0,48.0,49.0,56.0
79,80,Glas 4-160-5/2/5 voorzetraam (GDR),GDR,4.0,160.0,5.0,True,30.0,38.0,47.0,53.0,54.0,55.0
80,81,Glas 4-160-6/2/6 voorzetraam (GDR),GDR,4.0,160.0,6.0,True,30.0,39.0,47.0,52.0,53.0,56.0
81,82,Glas 6-160-5/2/5 voorzetraam (GDR),GDR,6.0,160.0,5.0,True,31.0,40.0,48.0,53.0,54.0,57.0
82,83,Glas 6-160-6/2/6 voorzetraam (GDR),GDR,6.0,160.0,6.0,True,32.0,40.0,49.0,52.0,53.0,58.0
83,84,Glas 8-160-5/2/5 voorzetraam (GDR),GDR,8.0,160.0,5.0,True,32.0,41.0,49.0,53.0,53.0,59.0
84,85,Glas 8-160-6/2/6 voorzetraam (GDR),GDR,8.0,160.0,6.0,True,33.0,41.0,50.0,52.0,53.0,60.0
85,86,G-U Z 150,,,,,True,3.0,7.0,10.0,16.0,24.0,0.0
86,87,G-U Z 150 V,,,,,True,1.0,12.0,17.0,19.0,20.0,0.0
87,88,G-U N 100-13,,,,,True,2.4,1.6,13.7,16.6,12.3,13.3
88,89,G-U N 100-20,,,,,True,2.3,0.0,8.4,12.6,9.6,11.1
89,90,Acoustair AGN,,,,,True,4.0,2.0,12.0,13.0,18.0,0.0
90,91,Eland-Brandt 6.45 1 (39),,,,,True,3.0,3.0,10.0,19.0,28.0,0.0
91,92,Acoustair AGS,,,,,True,4.0,5.0,19.0,22.0,24.0,0.0
92,93,dB-norm GSK 125,,,,,True,-2.0,-4.0,1.0,15.0,22.0,0.0
93,94,Soundair enkele kast,,,,,True,0.0,-3.0,3.0,6.0,6.0,0.0
94,95,*Alusta Futura 300,,,,,True,2.0,4.0,9.0,12.0,22.0,27.0
95,96,*Alusta Futura 200,,,,,True,1.5,5.0,13.0,15.0,25.0,32.0
96,97,*Alusta Futura 100,,,,,True,1.0,8.0,19.0,22.0,30.0,38.0
97,98,*Alusta Futura 160-TEX,,,,,True,1.3,5.5,13.3,14.7,28.5,40.1
98,99,Buvalux types 24.3 en 26.43,,,,,True,5.7,7.3,15.9,19.0,26.1,30.4
99,100,Buvalux types 24.31 en 26.431,,,,,True,6.1,12.1,15.8,17.3,19.9,23.8
100,101,dB-norm GVK 75,,,,,True,-1.0,-4.0,0.0,14.0,22.0,0.0
101,102,dB-norm GVK 125,,,,,True,-1.0,-2.0,8.0,20.0,28.0,0.0
102,103,dB-norm GVK 175,,,,,True,-1.0,0.0,7.0,25.0,33.0,0.0
103,104,dB-norm GVK 225,,,,,True,-3.0,1.0,11.0,22.0,33.0,0.0
104,105,dB-norm GVK 275,,,,,True,-3.0,4.0,14.0,25.0,32.0,0.0
105,106,dB-norm GVK 200,,,,,True,-3.0,1.0,10.0,22.0,30.0,0.0
106,107,dB-norm GVK 275-S,,,,,True,0.0,8.0,16.0,27.0,34.0,0.0
107,108,dB-norm GVB 150.0.65,,,,,True,5.0,9.0,15.0,18.0,22.0,0.0
108,109,dB-norm GVB 150 1.0,,,,,True,6.0,13.0,22.0,28.0,35.0,0.0
109,110,Raam PH-1250  120 met suskast,,,,,True,21.0,28.0,35.0,42.0,41.0,0.0
110,111,Raam PH-1250  170 met suskast,,,,,True,24.0,33.0,40.0,43.0,43.0,0.0
111,112,SBH hor.type (bouwkundige suskast),,,,,True,4.0,6.0,9.0,9.0,12.0,0.0
112,113,SBV vert.type (bouwkundige suskast),,,,,True,-5.0,-1.0,8.0,12.0,19.0,0.0
113,114,Enkel glas  4 mm (GE 4),,,,,True,19.0,23.0,26.0,30.0,32.0,28.0
114,115,Enkel glas  6 mm (GE 6),,,,,True,21.0,25.0,28.0,31.0,27.0,34.0
115,116,Enkel glas  8 mm (GE 8),,,,,True,23.0,26.0,30.0,32.0,28.0,38.0
116,117,Enkel glas 12 mm (GE 12),,,,,True,25.0,28.0,31.0,27.0,34.0,44.0
117,118,Triplex 4  mm,,,,,True,3.0,9.0,12.0,18.0,26.0,0.0
