catalog_index,catalog_id,material_no,master_category,name,category,thickness_mm,weight_kg_m2,ra_dba,source_ref,r_63_hz,r_125_hz,r_250_hz,r_500_hz,r_1000_hz,r_2000_hz,spectrum_ok,supplier,phone,buildup,cavity_fill,laminate,glass_t1_mm,glass_cavity_mm,glass_t2_mm,rqa_dba,c_dm3_s,dna_dba,height_mm,depth_mm,length_mm,sh_mm,doorlaat_m2_m,source
0,D00118,118,Elementen,Triplex 4 mm,,4.0,4.0,11.7,IL-HR-13-01aai en w...,0.0,3.0,9.0,12.0,18.0,26.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
1,D00119,119,Elementen,Multiplex 18 mm [1],,18.0,15.0,22.3,TPD iov VROM 1984...,15.0,18.0,21.0,23.0,23.0,24.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
2,D00120,120,Elementen,Meubelplaat 15 mm [1],,15.0,12.0,22.1,IL-HR-13-01,10.0,15.0,20.0,24.0,27.0,25.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
3,D00121,121,Elementen,Massief spaanplaat 4...,,40.0,32.0,27.3,IL-HR-13-01,16.0,21.0,26.0,29.0,29.0,32.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
4,D00122,122,Elementen,Aluminium 4 mm [1],,4.0,11.0,20.0,TPD iov VROM 1984...,6.5,12.0,17.0,23.0,28.0,29.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
5,D00123,123,Elementen,Staalplaat 1 mm [1],,1.0,8.0,18.7,TPD iov VROM 1984...,5.0,11.0,17.0,22.0,27.0,23.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
6,D00124,124,Elementen,Staalplaat 3 mm [1],,3.0,24.0,27.1,TPD iov VROM 1984...,13.5,19.0,24.0,30.0,36.0,40.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
7,D00125,125,Elementen,Staalplaat 0.7 mm g...,,1.0,7.0,17.1,TPD iov VROM 1984...,4.0,10.0,16.0,19.0,21.0,24.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
8,D00126,126,Elementen,Staalplaat 1 mm gep...,,1.0,11.0,20.5,TPD iov VROM 1984...,11.0,14.0,16.0,20.0,25.0,29.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
9,D00127,127,Elementen,Aluminium 1.5 mm g...,,2.0,4.0,7.6,TPD iov VROM 1984...,0.0,0.0,5.0,8.0,10.0,12.0,True,,,,,,,,,,,,,,,,,catalogusGG.pdf
